protein1	protein2	locs1	locs2	sizes	category
P43366	Q8WV22	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
Q15004	Q99640	Cytoplasm,Nucleus	Endoplasmic reticulum,Golgi apparatus,Membrane	2|3	bothMulti
Q5VT52	Q9NWT6	none	Cytoplasm,Nucleus	1|2	oneMulti
Q96T68	Q9BQF6	Chromosome,Nucleus	Cytoplasm	2|1	oneMulti
P09912	Q8IXQ6	Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion inner membrane	Cytoplasm,Nucleus	4|2	bothMulti
A0A0J9YX57	Q8N140	none	Chromosome,Cytoplasm,Nucleus,Telomere	1|4	oneMulti
O95178	Q9Y3B1	Membrane,Mitochondrion,Mitochondrion inner membrane	none	3|1	oneMulti
P09382	Q9Y286	Cytoplasm,Extracellular matrix,Secreted	Membrane	3|1	oneMulti
P14635	Q00526	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
P36578	Q8IY81	Cytoplasm	Nucleus	1|1	bothSingle
P51116	Q92731	Cytoplasm,Synapse	Nucleus	2|1	oneMulti
A0PJY2	P37235	Nucleus	Membrane	1|1	bothSingle
P10153	P13489	Lysosome	Cytoplasm	1|1	bothSingle
P55040	Q504Y2	Cell membrane,Membrane	Golgi apparatus,Secreted	2|2	bothMulti
P78317	Q9Y3E0	Cytoplasm,Nucleus	Golgi apparatus,Membrane	2|2	bothMulti
Q6MZP7	Q96GY3	Nucleus	none	1|1	bothSingle
P17174	Q6YP21	Cytoplasm	none	1|1	bothSingle
Q14563	Q9HCM2	Secreted	Cell membrane,Membrane	1|2	oneMulti
A0A075B6U6	A0A075B7B6	none	Immunoglobulin,Membrane	1|2	oneMulti
Q8N9N5	Q969S9	Nucleus	Mitochondrion	1|1	bothSingle
Q02928	Q9C086	Endoplasmic reticulum,Membrane,Microsome	Nucleus	3|1	oneMulti
P22897	Q03181	Cell membrane,Endosome,Membrane	Nucleus	3|1	oneMulti
P61077	Q86UW9	Cell membrane,Endosome,Membrane	Cytoplasm,Nucleus	3|2	bothMulti
P43363	Q5JQC4	Nucleus	none	1|1	bothSingle
P01588	P40238	Secreted	Cell membrane,Golgi apparatus,Membrane	1|3	oneMulti
Q02878	Q9H9Y2	Cytoplasm,Endoplasmic reticulum	Nucleus	2|1	oneMulti
O43293	Q96GE6	Cytoplasm,Nucleus	Cell projection	2|1	oneMulti
O94952	Q7L2J0	none	Nucleus	1|1	bothSingle
O76081	P19087	Cytoplasm,Membrane,Nucleus	Cell projection	3|1	oneMulti
O60688	Q96IG2	Nucleus	Cytoplasm	1|1	bothSingle
P53582	Q8IUF1	Cytoplasm	Nucleus	1|1	bothSingle
O94952	Q9UK99	none	Nucleus	1|1	bothSingle
O75197	Q9H1J5	Endoplasmic reticulum,Membrane	Extracellular matrix,Secreted	2|2	bothMulti
Q9NUP1	Q9Y3C0	Cytoplasm	Endosome	1|1	bothSingle
A8MXT2	Q8WV22	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
P22090	P42677	none	Cytoplasm,Nucleus	1|2	oneMulti
P51531	Q9UHA2	Nucleus	none	1|1	bothSingle
P06870	P15328	none	Cell membrane,Cytoplasmic vesicle,Endosome,Membrane,Secreted	1|5	oneMulti
H0Y354	P18077	none	Cytoplasm	1|1	bothSingle
P10147	P32246	Secreted	Cell membrane,Membrane	1|2	oneMulti
P61077	Q9ULV8	Cell membrane,Endosome,Membrane	none	3|1	oneMulti
Q13131	Q9UGJ0	Cytoplasm,Nucleus	none	2|1	oneMulti
Q12933	Q86SE9	Cytoplasm	Nucleus	1|1	bothSingle
P14651	Q8WU39	Nucleus	Cytoplasm,Endoplasmic reticulum,Secreted	1|3	oneMulti
P50579	Q9HC44	Cytoplasm	Nucleus	1|1	bothSingle
Q9Y5A7	Q9Y6H5	Nucleus	Cytoplasm	1|1	bothSingle
Q96CT2	Q96DT7	none	Nucleus	1|1	bothSingle
P13501	Q6ZTQ4	Secreted	Cell membrane,Membrane	1|2	oneMulti
P42696	Q7Z4Q2	Nucleus	none	1|1	bothSingle
P51787	Q9NZT1	Cell membrane,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Membrane	none	5|1	oneMulti
P53582	Q9BRT8	Cytoplasm	Nucleus	1|1	bothSingle
O75940	Q9UJ41	Nucleus,Spliceosome	Cytoplasm,Endosome	2|2	bothMulti
Q96LR5	Q99942	none	Cell membrane,Endoplasmic reticulum,Membrane,Mitochondrion	1|4	oneMulti
P41236	P62136	none	Cytoplasm,Nucleus	1|2	oneMulti
A6NCI4	Q8N9B4	Secreted	none	1|1	bothSingle
P04628	Q5T9L3	Extracellular matrix,Secreted	Cell membrane,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane	2|6	bothMulti
P49746	Q16832	none	Cell membrane,Membrane	1|2	oneMulti
Q8N6G6	Q9BQI9	Extracellular matrix,Secreted	Nucleus	2|1	oneMulti
Q07889	Q8IZP0	none	Cell projection,Cytoplasm,Cytoskeleton,Nucleus,Synapse	1|5	oneMulti
E7EU14	P08238	none	Cell membrane,Cytoplasm,Membrane,Nucleus,Secreted	1|5	oneMulti
Q13619	Q6PD62	none	Nucleus	1|1	bothSingle
O15145	Q9C0K3	Cell projection,Cytoplasm,Cytoskeleton,Nucleus	none	4|1	oneMulti
P11086	P35270	none	Cytoplasm	1|1	bothSingle
P53805	Q9Y297	none	Cytoplasm,Nucleus	1|2	oneMulti
P82933	Q8NBR0	Mitochondrion	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
O15173	Q8IWL3	Endoplasmic reticulum,Membrane,Nucleus,Secreted	Cytoplasm,Mitochondrion	4|2	bothMulti
P62837	Q96P09	none	Cytoplasm	1|1	bothSingle
Q5JS13	Q9BV94	Cell membrane,Cytoplasm,Membrane	Endoplasmic reticulum	3|1	oneMulti
A0A087WTH5	Q8WZ55	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P46100	Q07889	Chromosome,Nucleus,Telomere	none	3|1	oneMulti
P01040	P09668	Cytoplasm	Lysosome	1|1	bothSingle
Q8TE02	Q9H553	Cytoplasm,Nucleus	Membrane	2|1	oneMulti
P18077	P22090	Cytoplasm	none	1|1	bothSingle
A6NMX2	Q13541	none	Cytoplasm,Nucleus	1|2	oneMulti
Q14442	Q9BRB3	Cytoplasm	Membrane	1|1	bothSingle
P51686	P80098	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q99728	Q9H4G4	Nucleus	Golgi apparatus,Membrane	1|2	oneMulti
Q8WWF5	Q969T4	Endoplasmic reticulum,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
O95837	P62879	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P46087	Q9BRJ6	Nucleus	none	1|1	bothSingle
Q05DH4	Q9H8T0	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q12797	Q9NX40	Endoplasmic reticulum,Membrane,Sarcoplasmic reticulum	Endosome	3|1	oneMulti
O14508	O75716	none	Cytoplasm,Membrane	1|2	oneMulti
O75717	Q6DKK2	Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
P23025	Q5QP82	Nucleus	none	1|1	bothSingle
Q9UNX3	Q9Y3C1	none	Nucleus	1|1	bothSingle
O94827	Q9P0J1	Cell junction,Cell membrane,Cell projection,Cytoplasm,Membrane	Mitochondrion	5|1	oneMulti
Q8NFY9	Q9H0H3	Cytoplasm,Cytoskeleton,Golgi apparatus	none	3|1	oneMulti
P00488	Q8N103	Cytoplasm,Secreted	none	2|1	oneMulti
P61758	Q9GZY8	Cytoplasm,Nucleus	Cytoplasmic vesicle,Membrane,Mitochondrion,Mitochondrion outer membrane,Peroxisome,Synapse	2|6	bothMulti
Q96J92	Q9H4A3	Cell junction,Tight junction	Cytoplasm,Cytoskeleton,Nucleus	2|3	bothMulti
P0DP25	P48539	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
O95256	Q14116	Cell membrane,Membrane	Cytoplasm,Secreted	2|2	bothMulti
P62837	Q86UD3	none	Cytoplasmic vesicle,Endosome,Membrane	1|3	oneMulti
O14874	Q14157	Mitochondrion	Chromosome,Cytoplasm,Nucleus	1|3	oneMulti
A6NHM9	Q15485	none	Secreted	1|1	bothSingle
P61601	Q86VH5	none	Cell membrane,Membrane,Postsynaptic cell membrane,Synapse	1|4	oneMulti
P06400	Q13042	Nucleus	Cytoplasm,Cytoskeleton	1|2	oneMulti
P47755	P47756	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
O60927	P62136	none	Cytoplasm,Nucleus	1|2	oneMulti
P08754	Q9HAV0	Cell membrane,Cytoplasm,Cytoskeleton,Membrane	none	4|1	oneMulti
O15266	Q9UHP6	Nucleus	Cell projection,Cilium,Cytoplasm,Cytoskeleton,Flagellum	1|5	oneMulti
Q7Z340	Q96CB9	Nucleus	Mitochondrion	1|1	bothSingle
P35228	Q9NZT1	Cytoplasm	none	1|1	bothSingle
P61088	Q99942	Cytoplasm,Nucleus	Cell membrane,Endoplasmic reticulum,Membrane,Mitochondrion	2|4	bothMulti
P08648	P39060	Cell junction,Cell membrane,Membrane	Basement membrane,Extracellular matrix,Secreted	3|3	bothMulti
A5D8V7	Q8NA47	Cell projection,Cytoplasm,Cytoskeleton	none	3|1	oneMulti
Q5U623	Q9BQ48	Nucleus	Mitochondrion	1|1	bothSingle
Q9BVG4	Q9H009	none	Cytoplasm,Nucleus	1|2	oneMulti
Q5H8C1	Q9NQ40	Basement membrane,Extracellular matrix,Secreted	Cell membrane,Cytoplasm,Membrane,Nucleus	3|4	bothMulti
P61513	P61964	Cytoplasm	Nucleus	1|1	bothSingle
H3BPM6	Q96JP2	none	Cytoplasm	1|1	bothSingle
A2PYH4	O15457	none	Chromosome	1|1	bothSingle
O00308	P51668	Nucleus	Cytoplasm	1|1	bothSingle
P46776	Q99848	Cytoplasm	Nucleus	1|1	bothSingle
Q6DKI1	Q9BYG3	none	Chromosome,Nucleus	1|2	oneMulti
P51553	Q9NQW6	Mitochondrion	Cell projection,Cytoplasm,Cytoskeleton,Nucleus	1|4	oneMulti
P61081	Q15843	none	Nucleus	1|1	bothSingle
O14867	P63208	Nucleus	none	1|1	bothSingle
A6NDB9	Q6PEZ8	Cell membrane,Cytoplasm,Membrane	Extracellular matrix,Secreted	3|2	bothMulti
P82909	Q07020	Mitochondrion	Cytoplasm,Endoplasmic reticulum	1|2	oneMulti
P30405	Q5VVH2	Mitochondrion	none	1|1	bothSingle
P35268	Q15843	Cytoplasm	Nucleus	1|1	bothSingle
O75078	P62760	Cell membrane,Cell projection,Membrane,Synapse	none	4|1	oneMulti
Q4L235	Q86YC2	none	Nucleus	1|1	bothSingle
A0PJX0	Q7Z404	none	Membrane	1|1	bothSingle
P10114	Q5TC63	Endosome,Membrane	none	2|1	oneMulti
P15408	Q9HD26	Nucleus	Cell projection,Cytoplasm,Golgi apparatus,Membrane,Synapse	1|5	oneMulti
Q9BRP1	Q9NZQ3	none	Nucleus	1|1	bothSingle
O95400	Q7Z422	Cytoplasm,Nucleus	none	2|1	oneMulti
P46778	Q96EY4	Cytoplasm,Endoplasmic reticulum	Nucleus	2|1	oneMulti
O15524	P17181	Cytoplasmic vesicle,Nucleus	Cell membrane,Endosome,Lysosome,Membrane	2|4	bothMulti
Q96R05	Q9NZQ3	Cytoplasm	Nucleus	1|1	bothSingle
Q4VC12	Q9BXY8	none	Cytoplasm,Nucleus	1|2	oneMulti
P85037	Q16832	Cytoplasm,Nucleus	Cell membrane,Membrane	2|2	bothMulti
P51805	Q13214	Cell membrane,Membrane	Endoplasmic reticulum,Secreted	2|2	bothMulti
O14682	Q9H0H3	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
Q7Z3J3	Q96DC7	none	Membrane	1|1	bothSingle
P49639	Q5T4B2	Nucleus	Endoplasmic reticulum	1|1	bothSingle
O43286	O60938	Golgi apparatus,Membrane	Extracellular matrix,Secreted	2|2	bothMulti
O15547	Q9UKQ9	Membrane	Secreted	1|1	bothSingle
Q8N4Q0	Q8NBN7	Peroxisome	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
P60953	Q3KRB8	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane	Mitochondrion	5|1	oneMulti
Q6EBC2	Q99650	Secreted	Membrane	1|1	bothSingle
Q4G0W2	Q969Q5	none	Cytoplasm,Membrane	1|2	oneMulti
P50747	Q96BZ9	Cytoplasm,Mitochondrion	Membrane	2|1	oneMulti
O60832	Q8WV16	Cytoplasm,Nucleus	none	2|1	oneMulti
Q05516	Q9UJP4	Nucleus	Cytoplasm,Cytoskeleton	1|2	oneMulti
P29692	Q969K4	Nucleus	Cytoplasm	1|1	bothSingle
P50479	Q9P2G9	Cell projection,Cytoplasm,Cytoskeleton,Endosome,Membrane,Nucleus,Synapse,Synaptosome	none	8|1	oneMulti
P62837	Q86YT6	none	Cell membrane,Cytoplasm,Cytoskeleton,Membrane	1|4	oneMulti
P01562	P17181	Secreted	Cell membrane,Endosome,Lysosome,Membrane	1|4	oneMulti
Q7Z7H8	Q8IWF2	Mitochondrion	Endoplasmic reticulum	1|1	bothSingle
Q5T8D3	Q8NC06	Membrane,Peroxisome	none	2|1	oneMulti
Q5VXD3	Q8NA19	none	Nucleus	1|1	bothSingle
P62745	Q9BXI6	Cell membrane,Endosome,Membrane,Nucleus	Cell projection	4|1	oneMulti
P01133	P07585	Membrane	Extracellular matrix,Secreted	1|2	oneMulti
P62837	Q9Y4L5	none	Cytoplasm,Endoplasmic reticulum,Golgi apparatus,Nucleus	1|4	oneMulti
Q9P2G9	Q9UH77	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
P51668	Q9NX47	Cytoplasm	Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion outer membrane	1|4	oneMulti
Q3V6T2	Q9Y236	Cell membrane,Cell projection,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane	none	6|1	oneMulti
Q13042	Q9UJX2	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
A0AVI4	P62837	Endoplasmic reticulum,Membrane	none	2|1	oneMulti
Q96KN7	Q96RU7	Cell projection,Cilium	Nucleus	2|1	oneMulti
Q07889	Q9C0H5	none	Nucleus	1|1	bothSingle
Q8N5M1	Q8N720	Mitochondrion	Nucleus	1|1	bothSingle
A6NLC8	Q92750	none	Cytoplasm,Nucleus	1|2	oneMulti
O75147	Q9BQE6	Cytoplasm,Cytoskeleton,Golgi apparatus	none	3|1	oneMulti
O94813	P43146	Secreted	Membrane	1|1	bothSingle
Q04912	Q9P0G3	Membrane	Secreted	1|1	bothSingle
P43362	Q9NXX6	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
Q9C0D6	Q9NQU5	Cell projection,Golgi apparatus,Microtubule	Cytoplasm,Nucleus	3|2	bothMulti
P10643	Q8IX05	Membrane attack complex,Secreted	Cell projection,Cytoplasm,Membrane	2|3	bothMulti
Q8TCD5	Q9NPB1	Cytoplasm	Mitochondrion	1|1	bothSingle
Q9H6T3	Q9Y265	none	Cytoplasm,Cytoskeleton,Membrane,Nucleus	1|4	oneMulti
P41182	Q53G59	Nucleus	Cytoplasmic vesicle	1|1	bothSingle
Q9H9E1	Q9UIC8	Cytoplasm,Cytoskeleton,Membrane	none	3|1	oneMulti
P0DMV9	Q9NZL4	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
O75832	Q8WV35	Cytoplasm,Nucleus	none	2|1	oneMulti
O60688	Q9UKC9	Nucleus	Membrane	1|1	bothSingle
O43741	Q13131	none	Cytoplasm,Nucleus	1|2	oneMulti
P15408	Q13464	Nucleus	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Golgi apparatus,Membrane	1|6	oneMulti
O43402	Q9NSI2	Endoplasmic reticulum,Membrane	Nucleus	2|1	oneMulti
Q08334	Q8IZI9	Membrane	Secreted	1|1	bothSingle
Q02543	Q8IY81	Cytoplasm	Nucleus	1|1	bothSingle
P17275	Q9NX18	Nucleus	Mitochondrion	1|1	bothSingle
A0A1W2PRN6	Q15543	none	Nucleus	1|1	bothSingle
O43795	Q8TD86	none	Cytoplasm,Nucleus	1|2	oneMulti
Q3B820	Q86TI0	Cell projection,Cilium,Cytoplasm,Cytoskeleton	Nucleus	4|1	oneMulti
P60983	Q92747	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
O75077	Q9UM19	Cell membrane,Membrane,Secreted	none	3|1	oneMulti
Q8NEB9	Q96TC7	Cytoplasmic vesicle,Endosome	Cytoplasm,Cytoskeleton,Membrane,Microtubule,Mitochondrion,Mitochondrion outer membrane,Nucleus	2|7	bothMulti
Q92917	Q9P2G9	Nucleus	none	1|1	bothSingle
Q68CZ2	Q68DK2	Cell junction,Cell projection	Cytoplasm,Cytoskeleton	2|2	bothMulti
P12524	Q6P597	Nucleus	Cytoplasm,Cytoskeleton,Microtubule,Mitochondrion	1|4	oneMulti
Q96EP0	Q9H2H8	Cytoplasm	Spliceosome	1|1	bothSingle
O14610	Q9HAV0	Cell membrane,Membrane	none	2|1	oneMulti
P18621	Q9H9Y2	Cytoplasm	Nucleus	1|1	bothSingle
P62330	Q712K3	Cell membrane,Cell projection,Cytoplasm,Endosome,Golgi apparatus,Membrane	none	6|1	oneMulti
P60660	Q8WXR4	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P62256	P78317	none	Cytoplasm,Nucleus	1|2	oneMulti
Q16533	Q9NWK9	Nucleus	none	1|1	bothSingle
Q8N2A8	Q96S16	Golgi apparatus,Membrane,Mitochondrion,Mitochondrion outer membrane	Cytoplasm,Endoplasmic reticulum	4|2	bothMulti
O15228	Q9Y5Q9	Membrane,Peroxisome	Nucleus	2|1	oneMulti
O95067	P06493	none	Cytoplasm,Cytoskeleton,Mitochondrion,Nucleus	1|4	oneMulti
P48454	Q08209	Mitochondrion	Cell membrane,Cell projection,Cytoplasm,Membrane,Synapse	1|5	oneMulti
O95782	Q9Y6R0	Cell membrane,Coated pit,Membrane	Cytoplasm	3|1	oneMulti
A0A087WTH5	O00631	none	Endoplasmic reticulum,Membrane,Sarcoplasmic reticulum	1|3	oneMulti
P35637	Q07343	Nucleus	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q99622	Q9UM73	Cytoplasm	Cell membrane,Membrane	1|2	oneMulti
P0CG36	Q96KV7	Secreted	Cytoplasm,Cytoskeleton	1|2	oneMulti
P61077	Q9BV68	Cell membrane,Endosome,Membrane	Cytoplasm,Nucleus	3|2	bothMulti
Q13255	Q9Y6K8	Cell membrane,Membrane	Cytoplasm	2|1	oneMulti
Q2VPK5	Q5TGI0	Cytoplasm	Membrane	1|1	bothSingle
Q07889	Q12778	none	Cytoplasm,Nucleus	1|2	oneMulti
Q6AW86	Q9HD33	Nucleus	Mitochondrion	1|1	bothSingle
O15085	Q92731	Cytoplasm,Membrane	Nucleus	2|1	oneMulti
Q99731	Q9HBE5	Secreted	Membrane	1|1	bothSingle
Q6TFL4	Q9P2J3	Cell junction,Cell projection,Cytoplasm	none	3|1	oneMulti
Q8NEF9	Q8TAS1	Cytoplasm	Nucleus	1|1	bothSingle
A6NLX3	P06493	none	Cytoplasm,Cytoskeleton,Mitochondrion,Nucleus	1|4	oneMulti
O00244	Q13107	none	Cytoplasm,Nucleus	1|2	oneMulti
Q15466	Q9NR96	Cytoplasm,Nucleus	Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Lysosome,Membrane	2|5	bothMulti
Q8N4P6	Q96M32	none	Cell projection,Cilium,Cytoplasm,Flagellum	1|4	oneMulti
O60353	P41221	Cell membrane,Cytoplasmic vesicle,Endoplasmic reticulum,Membrane	Extracellular matrix,Secreted	4|2	bothMulti
Q8NCP5	Q9UJP4	Nucleus	Cytoplasm,Cytoskeleton	1|2	oneMulti
P20062	Q6UVK1	Secreted	Cell membrane,Cell projection,Membrane	1|3	oneMulti
Q6ICB0	Q8IYU4	Cytoplasm,Nucleus	none	2|1	oneMulti
A4D1S5	Q92696	Cell membrane,Membrane	none	2|1	oneMulti
P51668	Q96GF1	Cytoplasm	Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion outer membrane	1|4	oneMulti
O75888	Q02223	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q14681	Q8N5Z5	none	Cytoplasm	1|1	bothSingle
Q99062	Q9UPV0	Cell membrane,Membrane,Secreted	Cytoplasm,Cytoskeleton,Nucleus	3|3	bothMulti
P54646	Q9UGJ0	Cytoplasm,Nucleus	none	2|1	oneMulti
P16333	Q14161	Cytoplasm,Endoplasmic reticulum,Nucleus	none	3|1	oneMulti
Q8NEY4	Q9HBG4	none	Cell membrane,Membrane	1|2	oneMulti
Q6NVY1	Q86V87	Mitochondrion	none	1|1	bothSingle
Q6NVY1	Q9UBS3	Mitochondrion	Endoplasmic reticulum	1|1	bothSingle
Q8TD86	Q9UQM7	Cytoplasm,Nucleus	Cell projection,Synapse	2|2	bothMulti
O00339	Q8N9N5	Secreted	Nucleus	1|1	bothSingle
Q13214	Q9HCM2	Endoplasmic reticulum,Secreted	Cell membrane,Membrane	2|2	bothMulti
Q14690	Q9BXS4	Nucleus	Cell membrane,Endosome,Golgi apparatus,Lysosome,Membrane	1|5	oneMulti
Q8N8Y2	Q9Y5K8	none	Cell projection,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane	1|5	oneMulti
Q04917	Q13188	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
Q13467	Q9Y6F9	Cell membrane,Cell projection,Golgi apparatus,Membrane,Synapse	Extracellular matrix,Secreted	5|2	bothMulti
Q96RR4	Q9NZT1	Cell projection,Cytoplasm,Nucleus	none	3|1	oneMulti
P07900	Q719I0	Cell membrane,Cytoplasm,Membrane,Mitochondrion,Nucleus	none	5|1	oneMulti
Q8TBK6	Q9HCG8	none	Nucleus,Spliceosome	1|2	oneMulti
Q6EEV6	Q9Y385	none	Endoplasmic reticulum,Membrane	1|2	oneMulti
P78556	Q7RTX0	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q92686	Q96C90	none	Cytoplasm	1|1	bothSingle
P20941	Q9HAV0	Cell projection,Cilium,Cytoplasm,Nucleus	none	4|1	oneMulti
Q2MV58	Q6NUS6	Cell projection,Cytoplasm,Cytoskeleton,Secreted	Membrane	4|1	oneMulti
Q8NHG8	Q9Y2X8	Cell membrane,Cell projection,Cytoplasm,Endosome,Lysosome,Membrane,Synapse	none	7|1	oneMulti
Q8NHQ8	Q96C92	none	Cell projection,Cytoplasm,Cytoskeleton,Endosome	1|4	oneMulti
P61086	Q9P0P0	Cytoplasm	none	1|1	bothSingle
P24863	Q9H9E1	Nucleus	Cytoplasm,Cytoskeleton,Membrane	1|3	oneMulti
Q53GT1	Q9P2G9	Cytoplasm,Cytoskeleton,Lysosome,Nucleus	none	4|1	oneMulti
O15033	Q9NYV4	none	Nucleus	1|1	bothSingle
Q5W5X9	Q9NZV7	Cell projection	Nucleus	1|1	bothSingle
P18085	P52306	Golgi apparatus,Membrane	Cytoplasm,Endoplasmic reticulum,Mitochondrion,Nucleus	2|4	bothMulti
P29401	P51854	none	Cytoplasm	1|1	bothSingle
Q13216	Q2YD98	Nucleus	Chromosome	1|1	bothSingle
P49418	Q9Y6J0	Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane,Synapse	Nucleus	5|1	oneMulti
Q8N0S2	Q9NSB8	Chromosome,Nucleus	Cell membrane,Cell projection,Cytoplasm,Membrane,Synapse	2|5	bothMulti
P0CW20	Q13418	none	Cell junction,Cell membrane,Cell projection,Cytoplasm,Membrane	1|5	oneMulti
Q6P1N9	Q9H2J4	Nucleus	Cytoplasm,Endoplasmic reticulum	1|2	oneMulti
O60269	Q05586	none	Cell membrane,Membrane,Postsynaptic cell membrane,Synapse	1|4	oneMulti
Q8J025	Q9H2X0	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q5VVH2	Q9UBN1	none	Cell membrane,Membrane	1|2	oneMulti
Q86TU7	Q8TF66	Cytoplasm,Nucleus	Cell membrane,Membrane	2|2	bothMulti
Q008S8	Q9NVP4	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
O95198	Q53G59	Cell projection,Cytoplasm,Cytoskeleton	Cytoplasmic vesicle	3|1	oneMulti
A8MW95	Q99570	Cytoplasm	Cytoplasmic vesicle,Endosome,Membrane	1|3	oneMulti
Q6EEV6	Q9BQF6	none	Cytoplasm	1|1	bothSingle
P62310	Q04837	Nucleus,Spliceosome	Mitochondrion,Mitochondrion nucleoid	2|2	bothMulti
Q58FF3	Q96HD1	none	Membrane	1|1	bothSingle
Q96I24	Q9BYF1	Nucleus	Cell membrane,Cell projection,Cytoplasm,Membrane,Secreted	1|5	oneMulti
O75896	Q92598	none	Cytoplasm	1|1	bothSingle
A6NKD2	Q9UJ04	Cytoplasm,Nucleus	none	2|1	oneMulti
A0A1W2PRV1	Q15543	none	Nucleus	1|1	bothSingle
P49771	Q53G44	Cell membrane,Membrane,Secreted	Cytoplasm	3|1	oneMulti
P61088	Q6EEV6	Cytoplasm,Nucleus	none	2|1	oneMulti
Q92796	Q9Y698	none	Membrane,Synapse,Synaptosome	1|3	oneMulti
P36507	Q9BYZ6	Cytoplasm,Membrane	none	2|1	oneMulti
Q9BXY4	Q9ULT6	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q9H0H3	Q9UJP4	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
Q86Z20	Q8WYQ4	Cytoplasm	none	1|1	bothSingle
P26373	Q8TD47	Cytoplasm	none	1|1	bothSingle
A6NKG5	P50897	Membrane	Lysosome,Secreted	1|2	oneMulti
O14976	Q9UL15	Cell junction,Cytoplasm,Cytoplasmic vesicle,Golgi apparatus	none	4|1	oneMulti
Q9NVX7	Q9P2G3	none	Cytoplasm,Endoplasmic reticulum,Membrane	1|3	oneMulti
P20132	Q96GA7	Cytoplasm	none	1|1	bothSingle
P82663	Q5JVS0	Mitochondrion	Cytoplasm,Nucleus	1|2	oneMulti
O95166	Q969E8	Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Golgi apparatus,Membrane,Microtubule	none	6|1	oneMulti
Q13596	Q86XE0	Cell projection,Endosome,Golgi apparatus,Membrane	none	4|1	oneMulti
P15313	Q8NI08	Cell membrane,Membrane	Nucleus	2|1	oneMulti
P60520	Q86TL0	Cytoplasmic vesicle,Endoplasmic reticulum,Golgi apparatus,Membrane	Cytoplasm,Mitochondrion	4|2	bothMulti
P29353	Q07889	Cell junction,Cytoplasm,Mitochondrion	none	3|1	oneMulti
Q15323	Q96MT8	Intermediate filament,Keratin	Cytoplasm,Cytoskeleton	2|2	bothMulti
O94900	P56277	Nucleus	Mitochondrion	1|1	bothSingle
P26373	Q9BZE4	Cytoplasm	Nucleus	1|1	bothSingle
Q6VMQ6	Q8N8R7	Nucleus	Cytoplasm	1|1	bothSingle
Q8WV22	Q9BZ81	Chromosome,Nucleus,Telomere	none	3|1	oneMulti
Q9NZQ3	Q9P2B4	Nucleus	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
Q6WQI6	Q86SG7	Cytoplasm	Secreted	1|1	bothSingle
A6NKU9	P06493	none	Cytoplasm,Cytoskeleton,Mitochondrion,Nucleus	1|4	oneMulti
Q5TD97	Q96A83	Nucleus	Extracellular matrix,Secreted	1|2	oneMulti
P55774	Q9HBE5	Secreted	Membrane	1|1	bothSingle
P35590	Q5VZ18	Cell membrane,Membrane	none	2|1	oneMulti
Q86VG3	Q9HBG6	none	Cell projection,Cilium,Cytoplasm,Cytoskeleton	1|4	oneMulti
