protein1	protein2	locs1	locs2	sizes	category
Q8NHG7	Q9NRW4	Cell membrane,Endoplasmic reticulum,Golgi apparatus,Membrane	Cytoplasm	4|1	oneMulti
P63261	Q15417	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
Q86X24	Q9H967	Chromosome,Nucleus	none	2|1	oneMulti
A8MX76	Q96L46	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P05976	P48454	none	Mitochondrion	1|1	bothSingle
O95025	P51805	Secreted	Cell membrane,Membrane	1|2	oneMulti
O75427	Q9BUI4	Cell membrane,Membrane	DNA-directed RNA polymerase,Nucleus	2|2	bothMulti
Q7Z4R8	Q9Y6X1	Secreted	Endoplasmic reticulum,Membrane	1|2	oneMulti
Q14687	Q9P0W2	none	Chromosome,Nucleus	1|2	oneMulti
Q8WV16	Q9UHV9	none	Cytoplasm,Mitochondrion,Nucleus	1|3	oneMulti
Q5T848	Q9BR01	Cell membrane,Cell projection,Membrane,Nucleus,Postsynaptic cell membrane,Synapse	Cytoplasm	6|1	oneMulti
Q9NWX5	Q9Y575	Cytoplasm	none	1|1	bothSingle
O14950	O75116	none	Cell membrane,Cytoplasm,Cytoskeleton,Membrane,Nucleus	1|5	oneMulti
P26441	P26992	Cytoplasm	Cell membrane,Membrane	1|2	oneMulti
P47929	Q6UVK1	Cytoplasm,Nucleus,Secreted	Cell membrane,Cell projection,Membrane	3|3	bothMulti
O00590	O15444	Cell membrane,Endosome,Membrane	Secreted	3|1	oneMulti
P05067	Q99767	Amyloid,Cell membrane,Cell projection,Coated pit,Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane,Nucleus,Secreted	none	12|1	oneMulti
O14561	Q9Y2G8	Mitochondrion	Endoplasmic reticulum,Membrane	1|2	oneMulti
Q6PKH6	Q9BTZ2	Secreted	Nucleus,Peroxisome	1|2	oneMulti
Q658N2	Q9ULE0	Golgi apparatus,Membrane	Cytoplasm	2|1	oneMulti
Q96DA2	Q9Y4I1	Cell membrane,Cytoplasmic vesicle,Golgi apparatus,Membrane	none	4|1	oneMulti
P60660	Q6PIF6	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
A0A1W2PPW3	Q8IZX4	none	Nucleus	1|1	bothSingle
P61758	Q96S82	Cytoplasm,Nucleus	none	2|1	oneMulti
P49840	Q9UMX1	none	Cytoplasm,Nucleus	1|2	oneMulti
